Function name; Absolute error; Relative error; Real range; Time
doppler_64_05;2.2355864078143494e-13;7.59307436081909e-12;[-158.7191444098274, -0.02944244059231351];8589
kepler0_64_05;4.3050008002865075e-14;;[-35.7792, 159.8176];8589
rigidBody1_64_05;6.838973831690964e-14;;[-705.0, 705.0];8590
rigidBody2_64_05;1.9532819806045154e-11;;[-58740.0, 58740.0];8590
turbine1_64_05;4.0091690651094673e-14;2.5856789337040327e-14;[-58.32912689020381, -1.5505285721480735];8591
turbine2_64_05;6.983917717644337e-14;;[-29.43698909090909, 80.993];8591
turbine3_64_05;2.8185317327929985e-14;6.04710761484431e-14;[0.4660958448753463, 40.375126890203816];8592
