Function name; Absolute error; Relative error; Real range; Time
rigidBody2;3.6066261088762985e-11;;[-57220.0, 58740.0];94497
rump_from_C;1.574636294136461e+22;;[-2.754913936801244E36, 3.8676448880556887E36];94498
rump_revisited;1.4265634727830934e+22;;[-2.754913826778181E36, 3.8676447780326255E36];94498
rump_with_pow;1.3245513325676383e+22;;[-2.754913936801244E36, 3.8676448880556887E36];94498
runge_kutta_4;1.4210854715202004e-14;;[0.0, 100.0];94498
sec4_example;1.4320235509461297e-10;1.5506929717488328e-07;[9.234732968004163E-4, 194.5969099894566];94498
sine_newton;2.669702197449864e-15;;[-1.669316509486887, 1.669316509486887];94498
sine;6.436385198078558e-16;;[-1.6265622161114444, 1.6265622161114444];94498
sineOrder3;1.0090405892234274e-15;;[-1.8716352762930262, 1.8716352762930262];94498
sphere;1.199040866595141e-14;;[-19.99999999999947, 19.99999999999947];94498
sqroot;5.400129931698172e-16;5.109498221006821e-16;[0.9856288580246914, 1.4992283950617284];94498
sqrt_add;1.129544591284309e-14;4.131724122716598e-13;[0.015807437428955823, 0.4142135623730951];94499
sum;3.552713678800501e-15;1.1657341758564144e-15;[2.0, 7.0];94499
test01_sum3;3.552713678800501e-15;1.1657341758564144e-15;[2.0, 7.0];94499
test02_sum8;7.993605777301127e-15;8.198570028001156e-16;[8.0, 16.0];94499
test03_nonlin2;1.2782704188070617e-14;;[-4.0, 2.3333333333333335];94499
test04_dqmom9;1.5544078686729603;;[-7.00002E10, 7.00002E10];94499
test05_nonlin1_r4;5.859611861436266e-07;0.04557580063366171;[1.2856848985574224E-5, 16666.916665416673];94499
test05_nonlin1_test2;1.387767678634466e-16;3.238133835264945e-16;[0.3333333333333333, 0.49999750001249993];94499
test06_sums4_sum1;1.3322676295501878e-15;;[-1.0E-5, 4.00001];94499
test06_sums4_sum2;1.3322676295501878e-15;;[-1.0E-5, 4.00001];94499
turbine1;3.920229126788285e-14;8.199910292316325e-15;[-31.793526890203815, -1.746562511542013];94499
turbine2;4.3678654665297676e-14;;[-28.84888727272727, 27.9218];94500
turbine3;1.6532406090511927e-14;2.9693237100776295e-14;[0.5567734509512169, 14.486736646301374];94500
verhulst;2.671681581963907e-16;6.539720306516257e-16;[0.3477806788511749, 0.9915632754342432];94500
x_by_xy;6.66133814775095e-16;2.66453525910038e-15;[0.16666666666666666, 1.0];94500
